"","Serpine2","Ptgds","Cldn11","Neurog2","Isg15","Hbb.bt","Hbb.y","Crym","Ifitm3","Bst2","Fgf17","Eomes","Hba.x","Hba.a1","Hba.a2","Olig1","Hspa1a","Ttr","Iigp1"
"Serpine2",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ptgds",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cldn11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neurog2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Isg15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hbb.bt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hbb.y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crym",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifitm3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bst2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgf17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Eomes",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hba.x",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hba.a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hba.a2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olig1",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Hspa1a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ttr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iigp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
